load_zone,stage_id,timepoint,load_mw
MSEDCL,1,20300211,28206.679
MSEDCL,1,20300212,28511.61523
MSEDCL,1,20300213,28520.60945
MSEDCL,1,20300214,28268.66328
MSEDCL,1,20300215,27121.26755
MSEDCL,1,20300216,26379.89095
MSEDCL,1,20300217,26048.72389
MSEDCL,1,20300218,25511.13899
MSEDCL,1,20300219,25098.63801
MSEDCL,1,20300220,25093.91821
MSEDCL,1,20300221,25737.30419
MSEDCL,1,20300222,27098.11928
MSEDCL,1,20300223,29019.21524
MSEDCL,1,20300224,30648.4448
MSEDCL,1,20300225,32442.92185
MSEDCL,1,20300226,34243.62536
MSEDCL,1,20300227,35516.37972
MSEDCL,1,20300228,36133.87427
MSEDCL,1,20300229,36487.38264
MSEDCL,1,20300230,36778.76353
MSEDCL,1,20300231,37226.82571
MSEDCL,1,20300232,36185.16769
MSEDCL,1,20300233,33087.2933
MSEDCL,1,20300234,30010.67902
MSEDCL,1,20300235,29308.62175
MSEDCL,1,20300236,29788.60834
MSEDCL,1,20300237,29276.96968
MSEDCL,1,20300238,28606.20337
MSEDCL,1,20300239,27629.00599
MSEDCL,1,20300240,26856.56309
MSEDCL,1,20300241,26615.196
MSEDCL,1,20300242,26068.40264
MSEDCL,1,20300243,25731.46218
MSEDCL,1,20300244,25698.55754
MSEDCL,1,20300245,26026.18992
MSEDCL,1,20300246,27409.57832
MSEDCL,1,20300247,29335.37168
MSEDCL,1,20300248,31092.67304
MSEDCL,1,20300249,33008.08184
MSEDCL,1,20300250,34853.14351
MSEDCL,1,20300251,36191.01331
MSEDCL,1,20300252,36533.8222
MSEDCL,1,20300253,36802.56687
MSEDCL,1,20300254,37072.6231
MSEDCL,1,20300255,37421.03858
MSEDCL,1,20300256,36692.00794
MSEDCL,1,20300257,33555.83193
MSEDCL,1,20300258,30270.85657
MSEDCL,1,20300259,29455.52329
MSEDCL,1,20300260,29725.46437
MSEDCL,1,20300261,29548.98597
MSEDCL,1,20300262,29452.20536
MSEDCL,1,20300263,28165.91189
MSEDCL,1,20300264,26991.80819
MSEDCL,1,20300265,26595.77031
MSEDCL,1,20300266,26136.04936
MSEDCL,1,20300267,25509.6424
MSEDCL,1,20300268,25501.23162
MSEDCL,1,20300269,26066.53102
MSEDCL,1,20300270,26620.07442
MSEDCL,1,20300271,28816.62594
MSEDCL,1,20300272,31063.14727
MSEDCL,1,20300273,32294.34683
MSEDCL,1,20300274,33693.02621
MSEDCL,1,20300275,34775.0499
MSEDCL,1,20300276,35607.37423
MSEDCL,1,20300277,36075.62914
MSEDCL,1,20300278,36209.00874
MSEDCL,1,20300279,36742.11974
MSEDCL,1,20300280,36338.01912
MSEDCL,1,20300281,33413.71606
MSEDCL,1,20300282,30306.98098
MSEDCL,1,20300283,29731.99067
MSEDCL,1,20300284,30184.03768
MSEDCL,1,20300285,29692.62596
MSEDCL,1,20300286,29442.01328
MSEDCL,1,20300287,28397.40012
MSEDCL,1,20300288,26960.97766
MSEDCL,1,20300289,26247.81447
MSEDCL,1,20300290,25911.34265
